title,date,cpv,year,cpv_extracted,cpv_final,cpv_group
"Servicio de recepción, apertura y cierre, control y atención al público de determinadas instalaciones municipales del IME",2020-12-31T21:24:54.624+01:00,,2020,,,
Obras de construcción e instalación de un centro de compostaje comunitario en el municipio de Benijófar.,2020-01-03T13:04:28.942+01:00,,2020,,,
Adquisición de simuladores de I&A para Pizarro VCI/C Fase I y II ,2020-01-02T14:00:40.564+01:00,,2020,,,
"Servicios asistencia técnica estrategia DUSI ""Ibiza, cohesión social e integración de barrios"" cofinanciada 50% fondos FEDER dentro del programa operativo de crecimiento sostenible 2014-2020 (POCS)",2020-01-02T09:29:29.747+01:00,,2020,,,
Contratación con entidad especializada de los servicios de prevención de riesgos laborales de la Diputación Provincial de Burgos y del Instituto Provincial para el Deporte y la Juventud de Burgos,2020-01-10T13:20:42.428+01:00,,2020,,,
Servicio desplazamiento viajeros entre l'ametlla y l'hospitalet del infant por corte de vía,2020-01-10T09:43:25.343+01:00,,2020,,,
Gestión integral de las instalaciones deportivas municipales,2020-01-09T13:53:18.708+01:00,,2020,,,
"Suministro de equip., software, instalación, formación y puesta en marcha de treinta y ocho nuevos puntos de información turística a integrar en la red prov. oficinas de información turística.",2020-01-09T09:32:27.177+01:00,,2020,,,
FLOSUB.- (T.A. 2020) Contrato de servicios para el mantenimiento de los sistemas eléctricos y realización de fichas eléctricas en los submarinos apoyados por el Arsenal.,2020-01-08T13:06:33.308+01:00,,2020,,,
contrato fiestas locales patronales 2020 san ildefonso y nuestra sra. de la paz 23 y 24 de enero con sábado 25 y domingo 26 en plaza mayor. contrato patrimonial de la cesión de uso temporal de un bien,2020-01-08T00:02:55.171+01:00,,2020,,,
Servicio de maquinaria pesada del Plan Infocam en CLM durante la campaña de prevención y extinción de incendios y mejora pistas forestales y mantenimiento cortafuegos.-2302TO19SER00001,2020-01-07T10:04:37.709+01:00,,2020,,,
"Contratación del servicio de vigilancia y seguridad privada de las instalaciones y actividades que se desarrollan en los teatros adscritos al Instituto Municipal de las Artes Escénicas, Gran Teatro de Córdoba.",2020-01-17T13:16:48.582+01:00,,2020,,,
"Adecuación Infraestructuras viales del polígono de Casarabonela
Se prenden por tanto proceder a una renovación de la obra civil de las instalaciones, así como a los firmes, para paliar los problemas existentes.",2020-01-17T09:19:42.356+01:00,,2020,,,
Contratación del servicio de la vigilancia de la salud individual: reconocimientos médicos para el personal al servicio de la Autoridad Independiente de Responsabilidad Fiscal,2020-01-16T13:42:44.437+01:00,,2020,,,
Actuaciones de Mejora para la Estación Marítima,2020-01-16T09:34:27.764+01:00,,2020,,,
"Mantenimiento de la aplicación informática de gestión de base de datos ""Oracle""",2020-01-15T14:37:28.911+01:00,,2020,,,
"Contrato de servicios de publicidad para el desarrollo de actividades promocionales del comercio en Calahorra durante el ejercicio 2020, Expte. 21/2019 CO-SER",2020-01-15T10:09:07.870+01:00,,2020,,,
"Es objeto del presente contrato, por procedimiento abierto simplificado, a través de varios criterios, por el trámite ordinario, la ejecución de obras de adecuación de paradas de autobús urbano a la normativa vigente en materia de accesibilidad.",2020-01-14T14:16:38.037+01:00,,2020,,,
Suministro de energía eléctrica para la Diputación Provincial de Cádiz por una empresa comercializadora de electricidad.,2020-01-14T09:39:11.140+01:00,,2020,,,
Organización y desarrollo de las fiestas 2020 el Distrito de Villaverde.,2020-01-13T13:22:39.528+01:00,,2020,,,
Prestación del Servicio de Atención Turística en las Oficinas de Turismo de Aragón en Zaragoza,2020-01-13T08:47:17.005+01:00,,2020,,,
Servicio para la redacción del “Estudio de alternativas y documento ambiental para la mejora de la garantía del abastecimiento en la zona sur de la provincia de Pontevedra”,2020-01-24T13:46:42.688+01:00,,2020,,,
"Redac.proyecto básico y ejecución, proyectos específicos de instalaciones, Direcc.Facult. y
Coord. Seg. y Salud obra Rehabilitación integral del edificio uso adtvo. Junta de CyL sito Pza. Madrid 5, VA",2020-01-24T09:40:55.945+01:00,,2020,,,
Servicio de arquitectura e ingeniería por equipo facultativo para la redacción de los proyectos y la dirección de las obras de ordenación y acondicionamiento de parcelas dentro del ámbito del Hospital La Fe de València,2020-01-23T12:57:59.584+01:00,,2020,,,
"Mantenimiento de equipos de laboratorio Agilent, cromatógrafo de gases, espectofotómetro y masas del laboratorio de Salud Pública de Badajoz",2020-01-23T08:53:41.114+01:00,,2020,,,
"Recogida de animales abandonados, vagabundos o extraviados, y otros servicios al respecto en la Mancomunidad de Servicios del Suroeste de Madrid",2020-01-22T12:31:39.572+01:00,,2020,,,
suministro de material higiénico para el consumo anual de la Dirección Provincial de la Tesorería General de la Seguridad Social en Sevilla,2020-01-21T22:08:34.977+01:00,,2020,,,
Suministro de vehículo policía local,2020-01-21T10:59:01.732+01:00,,2020,,,
"Patrocinio de la película ""La suite nupcial"". -15-ICLM-2019",2020-01-20T13:57:20.433+01:00,,2020,,,
"Prestación del servicio de limpieza del lote XII de edificios municipales, correspondiente a los centros educativos CEIP Manuel Alonso, Puerta Alcalá y Oromana.",2020-01-20T09:13:26.094+01:00,,2020,,,
Seguro de daños materiales y pérdidas en los bienes inmuebles propiedad del Ayuntamiento de Molina de Segura,2020-01-31T14:39:52.716+01:00,,2020,,,
"Adquisición escultura ""Habanero"" 1990 del artista Francisco Leiro",2020-01-31T11:01:32.131+01:00,,2020,,,
"Servicio de transporte, embalaje y desembalaje de la exposición “Orientalismos”.",2020-01-30T15:10:00.065+01:00,,2020,,,
"Contratación de la Gestión, Coordinación y Producción del Festival Marpoética 2020 de Marbella",2020-01-30T10:37:24.322+01:00,,2020,,,
Explotación barra salón usos múltiples para el día del carnaval 2020,2020-01-29T14:04:37.336+01:00,,2020,,,
"Asistencia técnica para implantar un Sistema de Alerta Temprana, basado en técnicas moleculares, para la detección de organismos acuáticos invasores en las cuencas de abastecimiento a Sevilla y su área metropolitana",2020-01-29T09:20:07.726+01:00,,2020,,,
"VIV-2019-008_Suministro mediante adquisición de vehículo del segmento todoterreno (4x4) tipo pick-up, doble cabina y caja abierta, para la Fundación Ciudad de la Energía. 

",2020-01-28T13:13:46.700+01:00,,2020,,,
Programa de vigilancia ambiental durante el desmantelamiento de la C.N. José Cabrera,2020-01-28T07:45:25.628+01:00,,2020,,,
"Suministro de mobiliario de oficina destinado a los departamentos del Ayuntamiento de Palma (Lotes 1, 4, 5 y 6)",2020-01-27T10:24:13.565+01:00,,2020,,,
Strategic consultant in the framework  of the  MYPOL Project,2020-02-07T15:16:52.771+01:00,,2020,,,
Servicio Ambulancia Soporte Vital Basico Aeropuerto De Asturias.,2020-02-07T11:24:34.341+01:00,,2020,,,
Suministro y transporte de traviesas para la duplicación de vía en el tramo muriedas-santander,2020-02-06T21:01:46.110+01:00,,2020,,,
Prórroga del contrato de suministro de gas natural para el Ayuntamiento de Santomera a traves de la plataforma de contratacion de la FEMP,2020-02-06T11:14:46.553+01:00,,2020,,,
Suministro dos vehiculos todoterreno para la atención de emergencias en el ambito de los parques de emergencias adscritos al SEMCA,2020-02-05T16:34:22.755+01:00,,2020,,,
Gases,2020-02-05T11:57:17.461+01:00,,2020,,,
Servicio de dirección de obras promovidas por el Excmo. Ayuntamiento de Marbella.,2020-02-04T17:31:25.799+01:00,,2020,,,
"Servicio de Asistencia Sanitaria Ambulatoria,Especialidades y Fisioterapia en Culleredo (A Coruña)",2020-02-04T12:02:47.420+01:00,,2020,,,
Servicio de agencia de noticias de contenidos audiovisuales y fotográficos para la agencia SINC,2020-02-03T16:09:16.048+01:00,,2020,,,
Contratación de un servicio de inspección de instalaciones de protección contra incendios por Organismo de Control Acreditado (OCA) en 31 edificios de Correos.,2020-02-03T10:56:54.409+01:00,,2020,,,
Varias dependencias.-Servicio Abierto de Mantenimiento de equipos de cocina y lavandería. (CM-5010-P-20).,2020-02-14T13:33:20.812+01:00,,2020,,,
